,delay
0,3.429
1,2.665
2,1.466
3,2.101
4,1.316
5,2.0
6,2.022
7,1.145
8,1.189
9,1.007
10,1.83
11,2.355
12,1.093
13,3.141
14,976000.0
15,1.11
16,991000.0
17,2.51
18,662000.0
19,1.725
20,1.596
21,1.621
22,8.174
23,1.176
24,2.116
25,1.085
26,3.026
27,1.214
28,9.101
29,1.241
30,1.122
31,1.048
32,1.618
33,1.907
34,921000.0
35,1.712
36,1.103
37,965000.0
38,1.085
39,1.058
40,1.17
41,1.041
42,1.305
43,1.127
44,1.514
45,1.079
46,1.299
47,1.308
48,994000.0
49,1.031
50,10.051
51,994000.0
52,970000.0
53,1.045
54,1.047
55,1.143
56,973000.0
57,1.019
58,956000.0
59,1.202
60,1.165
61,971000.0
62,2.048
63,975000.0
64,1.392
65,1.212
66,977000.0
67,1.09
68,990000.0
69,1.035
70,949000.0
71,981000.0
72,1.047
73,1.498
74,1.099
75,1.267
76,1.011
77,1.209
78,1.146
79,1.036
80,1.085
81,1.123
82,1.005
83,1.028
84,1.037
85,1.091
86,1.048
87,1.326
88,1.851
89,1.062
90,842000.0
91,1.114
92,946000.0
93,805000.0
94,1.043
95,1.146
96,776000.0
97,1.117
98,667000.0
99,3.848
