,Correction,Forward,Successor,init,Lookup Messages,Broadcast Messages
0,16692,617,2931,617,20240,255
1,12802,635,525,620,13962,255
2,9453,729,715,600,10897,255
3,4402,671,37042,875,42115,255
4,16319,619,604,620,17542,255
5,2828,595,1308,596,4731,255
6,208,602,18,620,828,255
7,17476,629,2174,620,20279,255
8,857,610,12,620,1479,255
9,581,594,0,595,1175,255
10,1462,614,6,620,2082,255
11,12588,741,0,620,13329,255
12,0,269,350,619,619,255
13,3747,596,490,597,4833,255
14,13193,597,4819,594,18609,255
15,13221,606,1353,597,15180,255
16,13660,594,0,595,14254,255
17,13903,668,0,618,14571,255
18,7425,545,74,619,8044,255
19,235,378,418,618,1031,255
20,13156,607,13,619,13776,255
21,14755,590,54,591,15399,255
22,85,364,256,620,705,255
23,18,544,229,620,791,255
24,13787,612,0,613,14399,255
25,13416,698,0,620,14114,255
26,482,516,286,618,1284,255
27,4411,566,607,608,5584,255
28,13126,562,1257,620,14945,255
29,13831,613,0,614,14444,255
30,14450,664,1536,619,16650,255
31,9394,599,602,600,10595,255
32,2542,531,590,620,3663,255
33,6153,595,934,591,7682,255
34,14551,566,52,618,15169,255
35,7098,498,120,618,7716,255
36,3613,591,0,592,4204,255
37,15864,603,1701,590,18168,255
38,2438,518,100,618,3056,255
39,7757,605,16,619,8378,255
40,7935,598,20,618,8553,255
41,636,572,46,618,1254,255
42,6431,602,0,603,7033,255
43,5790,605,152,619,6547,255
44,64,340,600,618,1004,255
45,941,489,336,619,1766,255
46,17242,617,1208,618,19067,255
47,1742,612,229,618,2583,255
48,776,421,1032,618,2229,255
49,14102,612,2083,618,16797,255
50,15969,600,561,601,17130,255
51,13316,616,0,617,13932,255
52,2,600,167,618,769,255
53,5215,542,76,618,5833,255
54,13422,618,448,619,14488,255
55,6643,659,0,606,7302,255
56,6282,600,0,601,6882,255
57,13376,630,874,619,14880,255
58,14032,552,66,618,14650,255
59,527,604,22,618,1153,255
60,16387,595,605,594,17587,255
61,535,671,192,590,1398,255
62,12359,600,0,598,12959,255
63,13960,544,610,618,15114,255
64,15309,655,0,619,15964,255
65,13457,618,510,619,14585,255
66,1652,604,14,618,2270,255
67,11516,591,0,592,12107,255
68,7575,557,727,619,8859,255
69,15516,591,569,592,16676,255
70,15257,617,1666,618,17540,255
71,9851,501,137,617,10489,255
72,53,651,168,619,872,255
73,106,362,751,618,1219,255
74,13925,635,74,620,14634,255
75,13193,591,476,592,14260,255
76,6553,599,318,601,7470,255
77,12,536,82,618,630,255
78,3140,454,446,618,4040,255
79,13448,520,616,618,14584,255
80,4280,594,841,595,5715,255
81,14286,606,1647,607,16539,255
82,17098,617,0,618,17715,255
83,335,502,120,618,957,255
84,8096,603,356,619,9055,255
85,14655,589,2221,617,17465,255
86,13118,617,393,618,14128,255
87,10250,553,432,619,11235,255
88,8781,591,0,592,9372,255
89,14859,594,1118,591,16571,255
90,16028,607,1124,608,17759,255
91,4802,492,126,618,5420,255
92,5675,588,30,618,6293,255
93,13996,549,70,619,14615,255
94,14502,617,0,618,15119,255
95,14150,589,546,590,15285,255
96,1897,410,436,612,2743,255
97,16623,610,2967,611,20200,255
98,2168,590,265,616,3023,255
99,173,271,347,618,791,255
100,4636,477,140,617,5253,255
