,Correction,Forward,Successor,init,Lookup Messages,Broadcast Messages
0,1218,313,1839,434,3370,0
1,1325,311,301,308,1937,0
2,92,292,18,308,402,0
3,1166,307,299,308,1772,0
4,454,346,425,308,1225,0
5,898,307,2660,308,3865,0
6,626,315,212,308,1153,0
7,692,313,1109,307,2114,0
8,73,248,64,312,385,0
9,836,310,945,308,2091,0
10,597,337,0,310,934,0
11,1249,307,340,310,1896,0
12,772,338,343,307,1453,0
13,156,312,1,309,469,0
14,95,289,20,307,404,0
15,86,199,110,307,395,0
16,1611,311,538,308,2460,0
17,926,307,1,308,1234,0
18,67,244,67,310,378,0
19,763,308,235,308,1306,0
20,1467,321,153,308,1941,0
21,1325,308,296,309,1929,0
22,1179,312,507,310,1998,0
23,1032,308,3,308,1343,0
24,854,310,2265,311,3429,0
25,517,288,230,309,1036,0
26,83,178,130,308,391,0
27,924,311,3,311,1238,0
28,190,207,610,307,1007,0
29,918,316,506,311,1740,0
30,74,269,42,308,385,0
31,468,308,258,309,1034,0
32,908,256,545,307,1709,0
33,905,312,789,310,2006,0
34,910,270,304,309,1484,0
35,115,307,1,308,423,0
36,883,312,9,309,1204,0
37,137,259,54,311,450,0
38,154,256,201,308,611,0
39,262,268,42,310,572,0
40,1619,314,916,309,2849,0
41,144,311,1,311,456,0
42,75,165,263,307,503,0
43,1127,309,295,307,1731,0
44,319,324,3,307,646,0
45,302,382,527,309,1211,0
46,384,318,1,307,703,0
47,915,309,57,308,1281,0
48,932,282,42,308,1256,0
49,57,323,196,308,576,0
50,92,268,334,308,694,0
51,308,296,190,310,794,0
52,37,149,437,308,623,0
53,39,307,0,308,346,0
54,1202,312,888,307,2402,0
55,443,297,18,309,758,0
56,84,250,466,308,800,0
57,103,313,426,308,842,0
58,444,248,63,307,755,0
59,691,307,217,308,1215,0
60,1118,311,563,311,1992,0
61,61,246,170,308,477,0
62,445,288,27,310,760,0
63,444,312,384,307,1140,0
64,1197,308,1721,308,3226,0
65,1099,310,4,307,1413,0
66,908,307,7,307,1222,0
67,129,238,985,310,1352,0
68,96,242,243,309,581,0
69,1057,313,562,310,1932,0
70,340,310,360,308,1010,0
71,1233,310,0,311,1543,0
72,168,308,335,309,811,0
73,912,313,2,309,1227,0
74,1108,307,285,308,1700,0
75,58,312,259,309,629,0
76,1062,311,0,309,1373,0
77,523,300,1062,310,1885,0
78,934,309,254,307,1497,0
79,492,285,31,310,808,0
80,66,256,168,311,490,0
81,112,215,99,309,426,0
82,907,310,529,310,1746,0
83,238,247,62,307,547,0
84,480,270,41,307,791,0
85,1136,306,298,307,1741,0
86,418,311,206,309,935,0
87,1095,330,283,308,1708,0
88,660,309,236,310,1205,0
89,1277,310,303,309,1890,0
90,121,256,199,310,576,0
91,1045,306,281,308,1632,0
92,921,311,2,310,1234,0
93,214,246,65,310,525,0
94,286,289,20,307,595,0
95,83,360,183,309,626,0
96,587,306,42,307,935,0
97,466,254,257,309,977,0
98,1107,315,581,310,2003,0
99,447,304,584,308,1335,0
100,556,308,2,308,866,0
101,357,308,180,309,845,0
102,926,306,0,307,1232,0
103,71,264,44,307,379,0
104,153,323,2,308,478,0
105,727,290,47,309,1064,0
106,907,270,82,307,1259,0
107,1028,311,0,311,1339,0
108,1107,305,3,307,1415,0
109,915,310,1009,308,2234,0
110,600,329,1260,312,2189,0
111,1493,321,3,308,1817,0
112,31,179,135,310,345,0
113,38,215,173,310,426,0
114,1143,311,1,310,1455,0
115,41,109,203,309,353,0
116,79,306,0,307,385,0
117,88,213,99,309,400,0
118,261,308,175,308,744,0
119,45,254,55,307,354,0
120,1020,285,288,308,1593,0
121,40,297,17,311,354,0
122,1150,322,870,310,2342,0
123,1396,306,4,307,1706,0
124,889,16,986,307,1891,0
125,188,253,388,307,829,0
126,36,305,86,307,427,0
127,726,306,1,307,1033,0
