,Correction,Forward,Successor,init
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,34,355,48,400
11,73,394,10,395
12,39,398,363,400
13,64,403,753,401
14,49,386,392,390
15,62,390,436,392
16,88,403,1162,393
17,107,400,2,401
18,100,396,6,400
19,118,395,497,430
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,90,391,3,391
41,81,389,3,389
42,42,392,381,390
43,89,389,7,392
44,31,406,5,395
45,98,389,797,394
46,85,389,33,390
47,73,402,762,391
48,132,400,10,398
49,96,401,386,399
50,30,360,402,403
51,109,412,360,403
52,77,399,850,403
53,102,399,5,398
54,114,406,391,406
55,136,405,1175,401
56,128,401,1184,402
57,34,394,10,400
58,42,400,745,401
59,60,388,767,401
