,delay
0,104.368145
1,111.132662
2,109.413577
3,67.156136
4,113.860167
5,66.77071
6,67.16898
7,115.332624
8,111.817531
9,110.041023
10,114.989666
11,115.05114
12,319.136058
13,315.092267
14,315.556646
15,272.085885
16,312.08259
17,319.394936
18,315.659427
19,319.433438
20,318.196291
21,319.467745
22,316.109836
23,314.59931
24,314.612864
25,320.127446
26,320.911214
27,316.863161
28,321.242241
29,317.11974
30,318.153395
31,320.963409
32,313.973095
33,320.303357
34,318.179085
35,320.332081
36,318.209473
37,317.951494
38,274.286496
39,319.448344
40,313.686204
41,317.726119
42,316.593556
43,316.955565
44,317.872795
45,314.111067
46,319.892577
47,320.447674
48,317.175426
49,319.938677
50,313.819599
51,321.208466
52,274.001698
53,316.411872
54,313.680179
55,318.649143
56,318.639587
57,320.643975
58,273.559142
59,321.387723
60,273.821762
61,317.559924
62,318.666783
63,273.724113
64,315.600912
65,322.291215
66,318.688731
67,317.892849
68,320.364023
69,318.498354
70,320.340854
71,315.519503
72,317.928
73,321.483122
74,317.37708
75,318.758471
76,318.86017
77,320.020021
78,320.828037
79,318.195907
80,320.305174
81,274.265372
82,321.561374
83,322.049058
84,274.179486
85,274.991056
86,320.563528
87,319.623904
88,321.007985
89,316.45305
90,317.609236
91,275.302285
92,321.914962
93,318.784288
94,320.988683
95,319.985591
96,315.180001
97,322.657818
98,317.617743
99,318.703463
100,319.019036
101,319.184474
102,319.492877
103,318.691882
104,320.891453
105,320.859185
106,321.113865
107,322.93255
108,323.020264
109,320.266315
110,321.800332
111,318.523419
112,317.120561
113,318.144383
114,318.552136
115,319.908188
116,318.294859
117,277.804897
118,320.980465
119,323.960408
120,322.653381
121,318.593574
122,322.996749
123,320.871913
124,324.891169
125,323.048678
126,325.637696
127,324.363489
128,325.263079
129,324.708403
130,278.510745
131,325.986604
132,318.655831
133,321.443557
134,319.106902
135,323.35435
136,322.049385
137,323.242807
138,325.451875
139,278.765387
140,324.792769
141,326.490526
142,324.992588
143,327.832551
144,320.33436
145,327.534608
146,325.15665
147,324.868199
148,327.902032
149,324.917023
150,325.683434
151,281.428789
152,321.716535
153,321.725696
154,331.303801
155,331.531475
156,331.513068
157,331.520516
158,324.499846
159,327.074329
160,293.137802
161,287.124986
162,328.922994
163,332.513985
164,285.726535
165,330.846945
166,336.995222
167,291.497606
168,289.389224
169,339.497187
170,340.596217
171,339.351305
172,345.102406
173,342.171041
174,339.059882
175,342.071404
176,339.425706
177,339.611517
178,339.604204
179,348.377161
180,347.319247
181,386.376622
182,339.698921
183,343.40018
184,339.740408
185,389.861023
186,386.341543
187,339.83641
188,386.300247
189,347.624877
190,387.283923
191,390.016412
192,386.360877
193,383.145336
194,341.763094
195,390.092699
196,383.272892
197,383.609348
198,340.548851
199,383.596744
200,384.877445
201,390.170028
202,383.720109
203,382.789908
204,421.063541
205,422.701081
206,421.914639
207,422.906315
208,465.565469
209,471.23621
210,471.639179
211,424.53292
212,427.302252
213,427.145974
214,472.061342
215,432.832007
216,474.236539
217,473.730635
218,424.689828
219,425.466887
220,467.231261
221,471.429749
222,468.577188
223,424.929822
224,426.382668
225,427.295069
226,474.920935
227,427.383527
228,427.714749
229,474.63314
230,434.458382
231,474.260484
232,428.73297
233,471.348204
234,425.832067
235,425.997369
236,434.037986
237,430.311017
238,560.57559
239,561.095447
240,515.625854
241,524.662688
242,566.229835
243,562.224969
244,524.179367
245,566.521163
246,516.972716
247,560.452534
248,525.274505
249,516.535679
250,517.118525
251,563.821597
252,566.655445
253,516.935292
254,516.935631
255,518.741041
256,563.992156
257,567.013602
258,518.854369
259,517.84375
260,525.107837
261,517.057672
262,566.081091
263,519.877372
264,517.472305
265,517.394313
266,560.260431
267,525.690556
268,567.802983
269,519.775881
270,521.553817
271,568.163842
272,560.976047
273,563.411206
274,518.237407
275,561.417005
276,525.722945
277,526.445096
278,560.811594
279,560.431627
280,568.054207
281,560.778006
282,567.029101
283,563.625539
284,561.520441
285,520.917937
286,568.419039
287,518.239492
288,518.229415
289,568.252901
290,561.217455
291,518.161448
292,520.014086
293,526.09115
294,518.250164
295,519.133564
296,567.66559
297,561.043759
298,518.376179
299,566.912664
300,526.379434
301,518.48232
302,567.685809
303,564.794155
304,564.830126
305,518.603086
306,520.326829
307,520.372056
308,565.772575
309,520.417229
310,564.488685
311,561.609939
312,520.594293
313,521.290719
314,567.420039
315,518.598471
316,564.997528
317,564.032532
318,567.081301
319,565.409663
320,568.323141
321,575.725667
322,598.588896
323,549.664842
324,550.243793
325,596.16996
326,558.233598
327,598.803301
328,551.573638
329,552.885269
330,558.387322
331,550.503043
332,597.3495
333,558.608516
334,550.270014
335,592.54833
336,551.774252
337,552.236887
338,597.539171
339,553.841906
340,597.561688
341,552.135098
342,550.145193
343,594.120378
344,592.888612
345,593.889872
346,550.330091
347,600.39734
348,597.745491
349,593.015597
350,550.275062
351,552.292797
352,554.109359
353,600.474092
354,598.597761
355,598.856086
356,552.086037
357,555.898268
358,595.369004
359,596.49474
360,555.288205
361,552.70884
362,601.011776
363,554.313197
364,554.000234
365,599.239163
366,561.644974
367,555.633942
368,554.653703
369,557.350997
370,563.44041
371,556.883618
372,602.177318
373,608.328302
374,611.004848
375,610.985536
376,564.583226
377,615.021355
378,569.019165
379,577.313094
380,569.336636
381,614.993869
382,569.39677
383,572.274615
384,619.409004
385,614.366515
386,573.895695
387,620.890511
388,575.849629
389,620.862729
390,622.530375
391,581.525922
392,583.422567
393,628.214745
394,633.897414
395,631.847773
396,631.278991
397,592.261775
398,641.078722
399,600.293123
400,594.362195
401,600.926027
402,594.402893
403,594.594469
404,635.832046
405,638.113865
406,635.294672
407,594.315977
408,601.216024
409,593.280169
410,638.459752
411,640.078002
412,594.367548
413,640.77766
414,602.380346
415,608.149404
416,620.023977
417,687.010109
418,643.725344
419,643.626068
420,650.883301
421,687.137105
422,645.952751
423,650.321671
424,687.812553
425,684.974431
426,650.185576
427,691.721745
428,650.883665
429,651.735178
430,686.825877
431,643.746609
432,644.513668
433,644.512975
434,647.548558
435,646.765237
436,676.321998
437,667.726613
438,716.090791
439,675.853132
440,669.821292
441,711.680474
442,710.343736
443,670.951499
444,669.919071
445,711.475238
446,668.913785
447,711.787679
448,717.483078
449,715.438743
450,717.532465
451,715.482369
452,716.376516
453,718.331498
454,671.411378
455,698.672708
456,697.07902
457,697.689022
458,705.785608
459,698.538727
460,745.48007
461,744.411195
462,705.575437
463,740.721224
464,698.895839
465,744.518527
466,697.291394
467,705.247012
468,705.743181
469,744.60673
470,697.363748
471,742.426335
472,747.477298
473,697.345547
474,706.136423
475,697.429982
476,700.591015
477,746.805657
478,747.534942
479,697.520766
480,698.127365
481,697.458655
482,699.390709
483,699.658974
484,698.059211
485,705.102081
486,711.626985
487,717.694579
488,716.689795
489,756.062569
490,711.769743
491,710.78945
492,712.714895
493,724.696647
494,764.270431
495,724.965382
496,718.124534
497,719.309058
498,767.340034
499,717.742542
500,725.933065
501,717.42484
502,719.543643
503,719.275853
504,763.046947
505,721.320524
506,717.704476
507,725.447738
508,772.473811
509,773.214413
510,730.750806
511,731.440101
512,773.754351
513,741.990989
514,777.824445
515,736.361525
516,738.98276
517,786.57002
518,739.548649
519,738.149071
520,740.057278
521,739.678862
522,785.586339
523,790.403018
524,754.722136
525,750.289145
526,748.324408
527,799.059421
528,795.664201
529,794.119962
530,799.618583
531,798.746881
532,801.941315
533,801.4953
534,753.824273
535,798.257348
536,803.028461
537,798.166259
538,823.00842
539,821.219707
540,786.501175
541,779.549347
542,827.457054
543,780.256155
544,786.081618
545,786.393447
546,829.527622
547,795.257171
548,797.428612
549,803.5187
550,845.647042
551,796.34353
552,804.384724
553,797.743524
554,804.193431
555,796.095866
556,803.931321
557,851.917599
558,802.808473
559,802.723783
560,803.047895
561,805.549298
562,852.670349
563,804.206265
564,864.477951
565,867.177295
566,819.007988
567,863.217551
568,817.657286
569,818.71185
570,860.382498
571,866.968573
572,863.007986
573,820.05342
574,828.095524
575,823.904757
576,865.759254
577,870.324914
578,821.244372
579,822.724016
580,831.944998
581,882.158132
582,875.990592
583,841.025966
584,834.851134
585,839.89328
586,834.81082
587,881.153265
588,832.361468
589,879.124424
590,882.516576
591,840.922969
592,832.461728
593,835.417156
594,840.625117
595,879.613457
596,878.808027
597,913.450781
598,878.816954
599,914.870903
600,921.510752
601,873.894914
602,914.947459
603,879.493176
604,914.702282
605,874.427252
606,917.269644
607,916.886475
608,873.503479
609,919.183004
610,872.621911
611,922.629024
612,880.515178
613,881.252931
614,875.690267
615,917.853287
616,874.33298
617,920.106004
618,873.15451
619,875.449175
620,881.79993
621,875.082951
622,916.716242
623,881.217325
624,875.218745
625,875.630214
626,916.598888
627,920.399587
628,875.227116
629,916.739755
630,923.405436
631,921.33739
632,925.906459
633,877.986428
634,900.863045
635,893.936962
636,896.255107
637,895.225833
638,900.26543
639,940.017311
640,900.622594
641,894.557179
642,894.5175
643,893.584873
644,894.721758
645,892.800327
646,900.864517
647,936.770916
648,893.040223
649,939.947646
650,893.533592
651,901.134394
652,916.703801
653,916.665955
654,957.179942
655,954.862913
656,909.41474
657,954.322343
658,912.542542
659,908.850722
660,910.779949
661,910.509088
