,Correction,Forward,Successor,init
0,223,6,9,9
1,216,4,2,6
2,214,7,5,12
3,214,4,2,6
4,210,4,11,6
5,206,10,7,11
6,206,7,12,11
7,231,4,3,7
8,215,5,12,6
9,216,5,5,10
10,202,5,13,7
11,221,3,3,6
12,210,9,2,11
13,219,3,3,6
14,222,5,4,9
15,216,4,12,6
16,212,5,7,7
17,224,4,3,7
18,219,5,2,7
19,217,8,15,9
20,228,6,10,9
21,203,4,2,6
22,217,7,5,11
23,222,5,20,7
24,214,9,13,11
25,203,5,7,7
26,217,4,5,9
27,222,8,2,10
28,218,5,2,7
29,205,10,12,12
30,227,9,9,11
31,227,5,3,8
32,201,6,24,8
33,207,4,5,9
34,211,5,5,10
35,208,9,13,11
36,206,9,6,11
37,222,7,3,9
38,206,6,15,10
39,221,4,2,6
40,218,6,2,6
41,202,9,2,11
42,203,8,42,8
43,224,6,11,6
44,224,7,12,9
45,205,6,2,8
46,207,6,7,8
47,213,6,16,7
48,217,5,10,8
49,217,7,20,7
50,206,9,8,11
51,227,5,2,7
52,209,4,11,6
53,216,6,5,11
54,221,5,2,7
55,217,4,2,6
56,218,4,15,9
57,205,10,7,12
58,207,9,2,11
59,217,5,10,8
60,211,5,23,7
61,214,6,2,8
62,214,7,5,12
63,227,7,2,9
64,225,7,11,9
65,213,7,2,9
66,233,9,2,11
67,212,7,3,6
68,224,6,5,8
69,202,4,2,6
70,221,6,2,8
71,205,9,14,11
72,212,9,2,11
73,200,7,9,7
74,223,6,2,6
75,213,9,12,11
76,214,4,11,6
77,215,6,2,8
78,217,6,2,8
79,219,7,2,9
80,225,10,12,12
81,204,5,8,7
82,224,7,72,9
83,218,4,10,8
84,221,6,3,8
85,219,9,12,13
86,215,5,16,10
87,201,5,2,7
88,208,8,29,10
89,207,9,2,11
90,225,6,29,8
91,207,9,2,11
92,211,6,2,8
93,210,8,9,10
94,218,5,11,7
95,232,5,11,7
96,212,9,2,11
97,212,6,11,8
98,219,6,35,8
99,211,10,16,12
100,219,9,11,11
101,203,6,11,6
102,224,8,21,10
103,218,4,2,6
104,215,4,2,5
105,225,4,9,7
106,229,5,2,7
107,216,7,18,11
108,212,10,6,12
109,218,5,18,7
110,217,8,9,12
111,218,8,2,10
112,203,9,2,11
113,223,6,15,7
114,217,7,16,9
115,226,6,3,9
116,204,5,29,9
117,211,4,2,6
118,209,8,2,10
119,210,9,2,11
120,219,10,13,12
121,224,9,2,11
122,225,6,12,8
123,230,6,2,8
124,221,7,2,9
125,213,6,5,11
126,212,9,6,11
127,210,4,2,6
128,230,7,11,10
129,209,5,21,6
130,208,9,7,10
131,217,8,6,10
132,208,9,12,11
133,201,10,2,12
134,206,9,10,11
135,213,4,31,6
136,225,5,2,7
137,221,8,19,11
138,206,9,19,11
139,204,5,2,7
140,225,6,2,8
141,206,9,2,11
142,229,6,11,8
143,201,5,21,6
144,222,7,66,10
145,209,7,6,9
146,220,5,23,6
147,210,8,16,12
148,228,8,10,11
149,231,6,8,8
150,209,6,2,8
151,209,4,11,6
152,211,6,2,8
153,214,7,2,9
154,208,5,23,7
155,208,5,22,7
156,204,5,6,6
157,233,8,2,9
158,229,4,2,6
159,224,7,2,9
160,208,8,3,10
161,209,7,2,9
162,223,5,24,7
163,227,4,4,7
164,210,4,2,6
165,210,7,24,12
166,210,6,2,6
167,210,7,2,9
168,210,8,26,10
169,206,10,12,12
170,198,5,30,7
171,213,4,2,6
172,223,6,4,9
173,219,5,21,7
174,232,5,2,7
175,226,6,2,8
176,214,5,16,7
177,215,10,12,12
178,225,5,11,7
179,225,4,2,6
180,215,5,14,7
181,209,7,4,11
182,202,5,2,7
183,207,10,15,12
184,207,9,8,11
185,205,9,2,11
186,215,5,2,7
187,211,8,11,8
188,232,10,8,11
189,222,4,2,6
190,211,10,24,12
191,227,4,2,6
192,215,4,3,6
193,205,6,18,8
194,219,8,2,10
195,231,6,10,9
196,217,4,3,6
197,223,7,2,9
198,206,10,2,12
199,213,6,2,8
200,204,5,23,9
201,214,8,2,10
202,218,0,30,12
203,207,5,5,9
204,216,5,5,10
205,201,10,7,12
206,208,10,6,12
207,222,5,2,7
208,208,7,2,8
209,207,10,2,12
210,220,4,7,6
211,208,8,2,10
212,219,5,2,7
213,219,7,4,11
214,233,7,2,9
215,221,4,6,6
216,214,0,39,12
217,215,6,2,8
218,225,7,10,8
219,206,6,2,8
220,215,6,10,11
221,209,8,2,10
222,231,6,3,9
223,223,7,2,9
224,228,7,7,9
225,206,7,4,10
226,213,9,20,11
227,224,8,3,10
228,225,8,2,10
229,211,5,2,7
230,207,6,4,10
231,207,8,7,10
232,226,6,3,9
233,220,6,2,8
234,224,4,20,7
235,205,9,19,11
236,211,8,2,10
237,216,6,2,8
238,228,6,16,8
239,208,9,9,11
240,225,7,3,10
241,207,7,21,11
242,222,6,10,6
243,202,6,2,7
244,202,10,2,12
245,225,4,3,7
246,204,10,10,12
247,205,10,3,12
248,209,4,2,6
249,215,6,27,11
250,205,5,7,7
251,213,8,4,12
252,205,6,13,10
253,229,8,3,11
254,226,4,35,7
255,211,4,2,6
256,219,8,2,10
257,214,9,8,11
258,210,5,5,10
259,232,6,3,9
260,230,5,6,7
261,213,9,10,11
262,218,8,7,9
263,224,4,22,7
264,215,6,5,11
265,207,6,2,8
266,212,9,2,11
267,210,4,6,6
268,208,9,10,12
269,212,7,5,12
270,225,7,2,9
271,222,6,52,8
272,207,10,2,12
273,222,6,7,8
274,210,7,20,9
275,222,7,16,9
276,229,9,33,9
277,217,8,22,12
278,218,5,23,8
279,225,5,2,7
280,228,6,2,8
281,208,8,9,10
282,204,10,2,12
283,212,7,2,9
284,214,9,2,11
285,226,8,10,10
286,220,8,2,10
287,214,7,2,9
288,215,5,12,7
289,208,10,9,12
290,218,4,4,8
291,206,4,6,9
292,223,11,19,13
293,216,5,2,7
294,220,4,15,6
295,207,9,7,11
296,232,11,11,12
297,207,8,16,10
298,221,5,12,7
299,231,7,3,9
300,209,9,2,11
301,221,9,3,11
302,218,6,2,8
303,224,10,16,12
304,229,7,10,10
305,205,9,2,11
306,223,5,9,7
307,210,11,2,13
308,225,7,27,9
309,205,9,25,10
310,227,5,3,8
311,224,7,3,10
312,215,4,2,6
313,206,9,12,11
314,220,4,11,6
315,224,10,2,11
316,210,7,10,11
317,207,9,4,11
318,204,4,2,6
319,211,9,13,11
320,216,6,28,8
321,215,10,6,12
322,209,5,2,7
323,207,9,2,11
324,228,5,2,6
325,204,10,2,12
326,228,7,3,10
327,207,8,6,10
328,224,6,2,8
329,219,7,2,9
330,217,5,5,10
331,205,5,2,7
332,209,5,9,9
333,223,6,2,8
334,215,5,2,6
335,216,5,26,9
336,231,9,7,11
337,214,7,16,8
338,226,5,2,7
339,230,7,3,10
340,224,7,2,9
341,212,7,19,12
342,214,6,14,11
343,208,8,48,11
344,209,6,25,10
345,226,6,24,8
346,206,9,2,11
347,230,7,12,9
348,226,4,2,6
349,211,8,4,12
350,221,4,15,6
351,209,4,5,6
352,217,6,2,8
353,203,4,2,6
354,230,6,22,9
355,223,7,11,9
356,220,4,2,6
357,224,5,11,7
358,208,7,2,9
359,219,7,8,9
360,209,6,11,8
361,204,5,13,7
362,215,10,16,12
363,213,10,2,12
364,225,6,11,8
365,213,9,2,11
366,215,6,6,8
367,204,4,11,6
368,219,6,2,7
369,227,6,5,9
370,210,10,2,11
371,203,7,12,8
372,210,6,31,8
373,205,9,2,11
374,219,5,19,7
375,225,6,3,9
376,225,7,6,8
377,214,4,2,6
378,218,4,5,9
379,230,7,3,10
380,203,10,2,12
381,218,4,13,6
382,223,7,8,9
383,224,7,2,9
384,220,4,11,6
385,208,4,30,6
386,223,3,6,5
387,208,8,2,10
388,208,6,2,8
389,207,7,3,9
