,delay
0,1.000756058
1,1.038064875
2,1.043208902
3,1.015104312
4,1.015266552
5,1.007271895
6,1.102321594
7,1.02813823
8,1.017690513
9,1.01162319
10,1.021756227
11,1.041471134
12,1.224600122
13,1.060711914
14,1.07593111
15,1.117439527
16,1.210459101
17,1.370608067
18,1.200569843
19,1.229058664
20,1.240321632
21,1.201088384
22,1.211195555
23,1.201102643
24,1.210319096
25,1.201210702
26,1.29419996
27,1.229702151
28,1.28963393
29,1.230172154
30,1.24131208
31,1.241427308
32,1.241380141
33,1.232754533
34,1.216831912
35,1.235288287
36,1.24632827
37,1.24640552
38,1.246326594
39,1.283274275
40,1.253138699
41,1.024916058
42,1.025820363
43,1.283888384
44,1.2559983
45,1.25479033
46,1.023623
47,1.273170649
48,1.284133406
49,1.284236062
50,1.022804843
51,1.02204782
52,1.021510449
53,1.273788152
54,1.018188432
55,1.27395115
56,1.255705712
57,1.023357048
58,1.285174878
59,1.027771121
60,1.326112889
61,1.285617839
62,1.285708214
63,1.274755874
64,1.025131791
65,1.333283347
66,1.417122545
67,1.257887829
68,1.274909771
69,1.255996079
70,1.336567712
71,1.02442616
72,1.028203988
73,1.023599188
74,1.247722133
75,1.257659773
76,1.258117753
77,1.257738851
78,1.277929838
79,1.025380643
80,1.249940007
81,1.027670234
82,1.259144139
83,1.289245745
84,1.297972774
85,1.08074522
86,1.298195496
87,1.287304145
88,1.269063433
89,1.258954429
90,1.268213289
91,1.298405083
92,1.052178842
93,1.056203526
94,1.287560085
95,1.287543449
96,1.287442713
97,1.036904618
98,1.03528957
99,1.037835898
100,1.298661044
101,1.346588202
102,1.036277461
103,1.036310179
104,1.287810685
105,1.267589062
106,1.037258087
107,1.352894511
108,1.035424751
109,1.0378959
110,1.036458529
111,1.288152739
112,1.269751323
113,1.259681604
114,1.036351068
115,1.352336101
116,1.299072527
117,1.053054179
118,1.352467283
119,1.036020369
120,1.288307026
121,1.288349457
122,1.299403052
123,1.288373486
124,1.288533838
125,1.299434197
126,1.288581831
127,1.432184081
128,1.28854717
129,1.288494952
130,1.037265691
131,1.299670481
132,1.391595831
133,1.299607664
134,1.271612624
135,1.269483263
136,1.393290428
137,1.270433915
138,1.434250072
139,1.260403861
140,1.260311333
141,1.260319696
142,1.288726638
143,1.288791479
144,1.036199382
145,1.041365472
146,1.040295027
147,1.270618919
148,1.288885715
149,1.035834501
150,1.268638157
151,1.038859642
152,1.432027503
153,1.272336482
154,1.262274462
155,1.350250865
156,1.038880714
